FFID	Line	Point	Gps-time(us)-UTC Date	UTC-Time	Time-Source	Latitude	Longitude	Comment
122	3.0	22.0	1347333169512543	2022-09-16	03:12:31.512543	GPS	234333.924	1143857.084	
123	3.0	23.0	1347333183193518	2022-09-16	03:12:45.193518	GPS	234333.996	1143857.084	
124	3.0	24.0	1347333196909083	2022-09-16	03:12:58.909083	GPS	234334.032	1143857.084	
125	3.0	25.0	1347333209444152	2022-09-16	03:13:11.444152	GPS	234334.068	1143857.120	
126	3.0	26.0	1347333229930858	2022-09-16	03:13:31.930858	GPS	234334.140	1143857.156	
127	3.0	27.0	1347333245206343	2022-09-16	03:13:47.206343	GPS	234334.212	1143857.156	
128	3.0	28.0	1347333260694818	2022-09-16	03:14:02.694818	GPS	234334.248	1143857.192	
129	3.0	29.0	1347333275330666	2022-09-16	03:14:17.330666	GPS	234334.320	1143857.192	
130	3.0	30.0	1347333291809075	2022-09-16	03:14:33.809075	GPS	234334.392	1143857.228	
131	3.0	31.0	1347333312867866	2022-09-16	03:14:54.867866	GPS	234334.500	1143857.228	
132	3.0	32.0	1347333327934723	2022-09-16	03:15:09.934723	GPS	234334.608	1143857.228	
133	3.0	33.0	1347333351526639	2022-09-16	03:15:33.526639	GPS	234334.752	1143857.264	
134	3.0	34.0	1347333367252573	2022-09-16	03:15:49.252573	GPS	234334.824	1143857.264	
135	3.0	35.0	1347333381836597	2022-09-16	03:16:03.836597	GPS	234334.932	1143857.300	
136	3.0	36.0	1347333396446645	2022-09-16	03:16:18.446645	GPS	234335.040	1143857.336	
137	3.0	37.0	1347333408944962	2022-09-16	03:16:30.944962	GPS	234335.148	1143857.336	
138	3.0	38.0	1347333424020165	2022-09-16	03:16:46.020165	GPS	234335.256	1143857.372	
139	3.0	39.0	1347333441112658	2022-09-16	03:17:03.112658	GPS	234335.400	1143857.408	
140	3.0	40.0	1347333454599473	2022-09-16	03:17:16.599473	GPS	234335.508	1143857.444	
141	3.0	41.0	1347333467144723	2022-09-16	03:17:29.144723	GPS	234335.688	1143857.444	
142	3.0	42.0	1347333484830185	2022-09-16	03:17:46.830185	GPS	234335.832	1143857.516	
143	3.0	43.0	1347333499620800	2022-09-16	03:18:01.620800	GPS	234335.976	1143857.516	
144	3.0	44.0	1347333515054215	2022-09-16	03:18:17.054215	GPS	234336.120	1143857.552	
145	3.0	45.0	1347333531338756	2022-09-16	03:18:33.338756	GPS	234336.228	1143857.552	
146	3.0	46.0	1347333545975344	2022-09-16	03:18:47.975344	GPS	234336.336	1143857.552	
147	3.0	47.0	1347333560849889	2022-09-16	03:19:02.849889	GPS	234336.516	1143857.588	
148	3.0	48.0	1347333571626432	2022-09-16	03:19:13.626432	GPS	234336.588	1143857.588	
149	3.0	49.0	1347333585507479	2022-09-16	03:19:27.507479	GPS	234336.732	1143857.588	
150	3.0	50.0	1347333601406932	2022-09-16	03:19:43.406932	GPS	234336.876	1143857.624	
151	4.0	1.0	1347333702467643	2022-09-16	03:21:24.467643	GPS	234337.272	1143857.696	
